.\datasets\images\10010052.jpg| A girl is on rollerskates talking on her cellphone standing in a parking lot .,,,,,,,,,| A trendy girl talking on her cellphone while gliding slowly down the street .,,,,,,,,,| A young adult wearing rollerblades , holding a cellular phone to her ear .,,,,,,,,| there is a young girl on her cellphone while skating .,,,,,,,,,| Woman talking on cellphone and wearing rollerskates .,,,,,,,,,
.\datasets\images\430543100.jpg| The nurse smiles as she gently rubs the tummy of the sleeping child .,,,,,,,,,| A nurse monitors a young child who appears to be post-op .,,,,,,,,,| Asian nurse looking a child with a hair lip .,,,,,,,,,| A nurse treating a child with cleft palate .,,,,,,,,,| A doctor checks the stomach of a toddler .,,,,,,,,,
.\datasets\images\4309129855.jpg| A white-haired man closes his eyes as he plays a violin in front of a stone building on a sunny day .,,,,,,,,,| A smiling man , seated , leans against the wall while he plays a violin .,,,,,,,| An old man playing the violin while sitting down .,,,,,,,,,| A sitting man playing the violin .,,,,,,,,,| Man with mustache plays violin .,,,,,,,,,
.\datasets\images\4309585508.jpg| Two women in security uniforms in a hallway , one is sweeping .,,,,,,,,| A girl cleans a blue and white hallway with a red broom .,,,,,,,,,| a girl wearing all black is holding a red push broom,,,,,,,,,| Two women they are both wearing a dark blue uniform,,,,,,,,,| A woman cop sweeping the floor .,,,,,,,,,
.\datasets\images\4310029413.jpg| Two men stand at a cart offering nuts to passing people on a busy street .,,,,,,,,,| The man in the black shirt is roasting something in the street .,,,,,,,,,| The man in the blue shirt is talking to a street vendor .,,,,,,,,,| Two man are standing next to a food stand .,,,,,,,,,| The person is roasting something .,,,,,,,,,
.\datasets\images\431059632.jpg| A man in a white sleeveless shirt is operating a looming machine .,,,,,,,,,| Man in a tank-top working on textiles .,,,,,,,,,| A man is knitting own some machinery .,,,,,,,,,| Man using a loom to make something .,,,,,,,,,| A young man is working on a weaver .,,,,,,,,,
.\datasets\images\4311708229.jpg| Many people are walking on a brightly lit plaza at night .,,,,,,,,,| A trolley car is passing through a city .,,,,,,,,,| People walking through an Asian city .,,,,,,,,,| A trolley heads through chinatown .,,,,,,,,,| The lights at night in the city .,,,,,,,,,
.\datasets\images\4313861353.jpg| While sitting on a sofa , one man is looking out the window and the other is sitting with his head back and arms crossed .,,,,,,,,| Two guys on a couch , one is looking up the other is looking away with a cup in his hand .,,,,,,,,| One man is sleeping on a couch and the other is smiling .,,,,,,,,,| Two men together , one watching , one resting .,,,,,,,| A man and his sleeping friend on a couch .,,,,,,,,,
.\datasets\images\4315212557.jpg| A boy and a girl sit at a black table , while a second boy sits near them on a windowsill .,,,,,,,,| Three children sitting in the corner of a room , with one sitting out on the window seal .,,,,,,,,| Two children are at a table while a third sits in a window above it .,,,,,,,,,| Two kids sitting at a desk while another sits in the windowsill .,,,,,,,,,| The three youngsters are playing near the window .,,,,,,,,,
.\datasets\images\4315305725.jpg| A boy wearing a striped hoodie is staring at a pigeon on a street .,,,,,,,,,| Picture of a little boy on a sidewalk looking at a pigeon .,,,,,,,,,| A boy wearing a black hat staring at the ground .,,,,,,,,,| A child is looking at a dove on the sidewalk .,,,,,,,,,| Boy watching pigeon on sidewalk .,,,,,,,,,
.\datasets\images\4318034861.jpg| Two men , a skydiving instructor and another man are descending to the ground with a huge blue lake in the picture .,,,,,,,,| Two men are skydiving over a beautiful lake and mountains .,,,,,,,,,| Two men are skydiving over a large blue body of water .,,,,,,,,,| Two people are tandem skydiving over a body of water .,,,,,,,,,| Two people skydiving over a body of water .,,,,,,,,,
.\datasets\images\4319130149.jpg| A West Virginia university women 's basketball team , officials , and a small gathering of fans are in a West Virginia arena .,,,,,,,| People are in a gymnasium with a basketball court .,,,,,,,,,| The basketball court at West Virginia University .,,,,,,,,,| Basketball players practicing for their game .,,,,,,,,,| A basketball game before it begins .,,,,,,,,,
.\datasets\images\4319908902.jpg| A women 's basketball game being played on an indoor court .,,,,,,,,,| Two female basketball teams are practicing before a game .,,,,,,,,,| The shoot around before a women 's basketball game .,,,,,,,,,| Female basketball players warming up before a game .,,,,,,,,,| An arena where a basketball game is taking place .,,,,,,,,,
.\datasets\images\4320863128.jpg| A community day to clean up the park , as volunteers rake , prune and clean up cutting branches and vines to make the park more attractive for families to gather in,,,,,,,| A group of people , mostly teenagers , are working on a city sidewalk , digging and cleaning up vines .,,,,,,| A group of people work in their shared urban garden as passersby watch .,,,,,,,,,| A large group of people are working on a sidewalk landscaping .,,,,,,,,,| Four people doing landscape work on public street .,,,,,,,,,
.\datasets\images\432248727.jpg| A brown dog is crouching and looking up in a field of grass .,,,,,,,,,| A brown dog in the grass field is looking up at the sky .,,,,,,,,,| A large brown dog is crouching in a grassy field .,,,,,,,,,| Brown dog crouching in grass looking up,,,,,,,,,| A brown dog howls .,,,,,,,,,
.\datasets\images\4324771398.jpg| A little girl with a black bandanna on her hair is posing for a picture while she searches for a four leaf clover,,,,,,,,,| A young girl is lying down in the grass staring apathetically into the camera .,,,,,,,,,| This is a young girl in the grass at a park posing for the camera .,,,,,,,,,| An unhappy looking child lays in the grass at a park .,,,,,,,,,| A bored-looking girl relaxes in the park .,,,,,,,,,
.\datasets\images\4326517877.jpg| People eating food bought from an outside food vendor as a seagull flies close by .,,,,,,,,,| A man wearing a blue coat and jeans eating a hotdog .,,,,,,,,,| A couple eating a hotdog from a street vendor .,,,,,,,,,| A man an women in front of a food cart .,,,,,,,,,| Man and woman eating a hotdog .,,,,,,,,,
.\datasets\images\4326892909.jpg| A woman is going down a hill sitting on a sled and a man is behind her also going down the hill but belly first on the sled .,,,,,,,,,| A young woman dressed in winter clothes is sledding down a snowy slope with a sledding male behind her .,,,,,,,,,| Two people smiling while sledding down a snow covered path lined with pine trees .,,,,,,,,,| Two people , one man , one woman , are gliding down a snow hill on sleds .,,,,,,| Two people in winter clothing sliding down a snow-covered hill .,,,,,,,,,
.\datasets\images\4326893429.jpg| Five people , sledding outside on a snow covered road with tree 's also covered in snow to the side of them .,,,,,,,,| Five men are sledding down a snowy slope on separate sleds .,,,,,,,,,| Five men in heavy winter attire sledding down a snowy hill .,,,,,,,,,| 5 adults are riding wooden sleds down a snowy hill .,,,,,,,,,| Several people are riding sleds down a snowy hill .,,,,,,,,,
.\datasets\images\4327457460.jpg| On a cloudy day , a few people are by a pier over a dark body of water in which a boat is in the foreground .,,,,,,,,| A photo taken from an outboard motor-equipped boat shows three children playing next to a waterway .,,,,,,,,,| Three children are by a waterway behind a house .,,,,,,,,,| Three people stand along the dock of a lake .,,,,,,,,,| A family is enjoying the water .,,,,,,,,,
.\datasets\images\4328445479.jpg| Several kids in what seems to be a classroom , working on a problem together or potentially giving a presentation .,,,,,,,,| Two girls and three boys are presenting in front of a dry erase board .,,,,,,,,,| Five students stand in front of a whiteboard in a classroom .,,,,,,,,,| Students are in a classroom , reading something off a paper .,,,,,,,,| Five children stand in front of a whiteboard .,,,,,,,,,
.\datasets\images\4328448107.jpg| Two young women are smiling while they sit at a table and eat .,,,,,,,,,| Two females sitting at a table eating food .,,,,,,,,,| Two girls eat lunch in a cafeteria .,,,,,,,,,| Two girls eating a meal together .,,,,,,,,,| Two students are eating lunch,,,,,,,,,
.\datasets\images\4328469705.jpg| A guy in a black shirt is laughing at a purple thing in another guy 's hair .,,,,,,,,,| A boy is looking on a strange purple object in his friends hair .,,,,,,,,,| A person in white shirt with something purple in their hair .,,,,,,,,,| A boy looking at something purple in another boy 's hair .,,,,,,,,,| Two boys , one with a purple thing in his hair .,,,,,,,,
.\datasets\images\4328528475.jpg| A dark-haired girl holding a racket in one hand and showing the peace sign with the other hand .,,,,,,,,,| Asian female holds up bad mitten racket and a peace sign with a big smile behind the net .,,,,,,,,,| A girl in blue shorts is holding up a racket while displaying the peace sign .,,,,,,,,,| The girl in the photograph appears to be enjoying some badminton .,,,,,,,,,| Asian girl holding a racket in the air in a gym .,,,,,,,,,
.\datasets\images\432870699.jpg| A group of musicians are playing instruments as the leader leads them .,,,,,,,,,| A band is playing a piece while a man in a white shirt conducts .,,,,,,,,,| Man in white shirt conducting a orchestra , horns and drums .,,,,,,,,| A classical music orchestra with a conductor playing inside .,,,,,,,,,| This is some sort of band or symphony practicing .,,,,,,,,,
.\datasets\images\4329182834.jpg| Two girls are sitting at a table with a green marker standing up right on the table between them .,,,,,,,,,| Two girls sit at a table with a green marker standing on its end .,,,,,,,,,| a woman sitting down on a class smiling at the camera,,,,,,,,,| Two Asian girls sitting at a table smiling .,,,,,,,,,| Two girls sitting in class .,,,,,,,,,
.\datasets\images\4329185604.jpg| Five Asian students read from papers in front of a whiteboard .,,,,,,,,,| Five young Asian students are reciting from a sheet of paper .,,,,,,,,,| Five students are reading off a piece of paper .,,,,,,,,,| Students reading their answers in the classroom,,,,,,,,,| These children are reading out loud .,,,,,,,,,
.\datasets\images\4329267374.jpg| Four young Asian students sit around and watch a baking soda volcano science project erupt .,,,,,,,,,| Four Asian people sitting on the floor with a model of a volcano .,,,,,,,,,| Four young adults sit on the floor and work on a project .,,,,,,,,,| Four Asian kids are sitting on the floor in a classroom .,,,,,,,,,| Kids learning about volcanoes .,,,,,,,,,
.\datasets\images\4329269128.jpg| An Asian woman is braiding the hair of another Asian woman who is wearing glasses .,,,,,,,,,| Two girls laugh smile as they wrap brightly colored cords into each other 's hair .,,,,,,,,,| A young lady braids blue ribbon into a another young lady 's hair .,,,,,,,,,| One young girl is braiding colored cord into another girls hair .,,,,,,,,,| The young Asian girl is wrapping things in the other girls hair .,,,,,,,,,
.\datasets\images\4330521713.jpg| A man wearing a red jacket looks at a paper while another man in a black jacket looks at the camera in a snow-covered field .,,,,,,,,,| two men standing in the snow , one looking at the camera , the other reading a paper by a sign .,,,,,,,| Two men wearing hiking gear look over a map on a hiking trail in the snow .,,,,,,,,,| Men in snow , one looking at the camera and the other reading a journal .,,,,,,,,| Two men are looking over a trail description in a snowy environment .,,,,,,,,,
.\datasets\images\4330613254.jpg| Two smiling men , one wearing a red jacket and the other wearing a navy blue jacket , are standing in the snow preparing to ski .,,,,,,,| A man with a red jacket and ski poles is looking a man in a black jacket laughing with snowy trees behind them .,,,,,,,,,| I see two men who are skiing in the snow and smiling for the camera .,,,,,,,,,| two men are skiing and the one on the right is laughing,,,,,,,,,| Two men outside during a snow-filled day .,,,,,,,,,
.\datasets\images\4332049092.jpg| A bald man in black dress pants and a white button-down shirt is standing on a section of an orange construction vehicle .,,,,,,,,,| A man dressed in a white collared shirt a black gloves balances atop a construction instrument .,,,,,,,,,| A man in nice clothes is trying to balance on the end of the bulldozer bucket .,,,,,,,,,| A man stands on top of a construction vehicle .,,,,,,,,,| A possible daredevil posed for the next move .,,,,,,,,,
